,experiments
0,388.8
1,388.5
2,387.7
3,387.7
4,387.7
5,388.1
6,387.3
7,387.3
8,387.8
9,387.4
10,386.3
11,387.2
12,387.9
13,387.3
14,387.2
15,387.0
16,388.6
17,387.5
18,385.7
19,386.8
20,387.1
21,387.6
22,388.0
23,389.2
24,386.1
25,386.2
26,386.6
27,387.0
28,388.6
29,386.7
30,386.8
31,386.7
32,387.6
33,388.1
34,387.0
35,386.8
36,387.6
37,387.7
38,386.8
39,387.2
40,387.1
41,386.4
42,387.8
43,389.4
44,388.8
45,386.9
46,387.6
47,388.3
48,387.9
49,387.5
